"grammar","chunk_size","chunk_id","chunk_range","control_sum","chunk_time","chunk_mem_mb"
"g1",32,128,"4096 4127",5,0.030093500999999998,7
"g1",32,129,"4128 4159",3,0.031338806000000004,10
"g1",32,130,"4160 4191",3,0.031717431000000004,5
"g1",32,131,"4192 4223",3,0.0299011,9
"g1",32,132,"4224 4255",5,0.030753936,0
"g1",32,133,"4256 4287",2,0.034567495999999996,3
"g1",32,134,"4288 4319",5,0.028900881,8
"g1",32,135,"4320 4351",6,0.03059743,6
"g1",32,136,"4352 4383",4,0.030853494000000002,5
"g1",32,137,"4384 4415",8,0.029924964,5
"g1",32,138,"4416 4447",5,0.030027637,3
"g1",32,139,"4448 4479",7,0.032266393,1
"g1",32,140,"4480 4511",8,0.034132669,10
"g1",32,141,"4512 4543",6,0.030257223,6
"g1",32,142,"4544 4575",3,0.02988931,4
"g1",32,143,"4576 4607",8,0.029338735,3
"g1",32,144,"4608 4639",5,0.029913675,14
"g1",32,145,"4640 4671",6,0.029836503,7
"g1",32,146,"4672 4703",5,0.02962499,6
"g1",32,147,"4704 4735",3,0.02870121,8
"g1",32,148,"4736 4767",5,0.03191053,8
"g1",32,149,"4768 4799",4,0.03031786,5
